,sym,Date,Open,High,Low,Close,Vol
0,BTC/USDT,2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165
1,BTC/USDT,2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932
2,BTC/USDT,2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451
3,BTC/USDT,2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977
4,BTC/USDT,2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604
5,BTC/USDT,2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316
6,BTC/USDT,2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661
7,BTC/USDT,2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264
8,BTC/USDT,2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983
9,BTC/USDT,2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448
10,BTC/USDT,2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667
11,BTC/USDT,2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336
12,BTC/USDT,2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683
13,BTC/USDT,2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742
14,BTC/USDT,2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606
15,BTC/USDT,2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284
16,BTC/USDT,2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377
17,BTC/USDT,2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545
18,BTC/USDT,2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259
19,BTC/USDT,2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746
20,BTC/USDT,2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659
21,BTC/USDT,2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138
22,BTC/USDT,2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597
23,BTC/USDT,2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529
24,BTC/USDT,2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932
